Name,Citation_Count,Degree_Centrality,Clustering_Coefficient,Eigenvector_Centrality,Efficiency,K_core
Marta D.+Rossell,60,2.96988536242501e-05,0.7878787878787878,4.4662962502964985e-06,0.9102564102564102,10
Marie+D’Angelo,3,3.464866256162512e-05,1.0,3.0151242811642137e-05,1.0,14
Adar+Sonn-Segev,2,7.424713406062525e-06,1.0,3.6686766399363705e-09,1.0,3
Małgorzata+Piȩtka,2,2.4749044686875086e-06,0.0,5.508192616548107e-12,1.0,1
Elizabeth+Dobisz,19,4.9498089373750174e-05,0.5052631578947369,1.0792488242358714e-06,0.7761904761904762,11
Valery+Dubov,2,2.4749044686875086e-06,0.0,5.545037159355276e-09,1.0,1
Assumpta+Parreño,197,3.959847149900014e-05,0.4583333333333333,0.0003026398258819194,0.7610294117647058,10
Akiko+Murakami,1,2.4749044686875086e-06,0.0,5.96825226660231e-09,1.0,1
Connie+Sutherland,1,4.949808937375017e-06,1.0,3.00585290136443e-10,1.0,2
Manran+Zhu,3,9.899617874750034e-06,1.0,9.151350083979928e-09,1.0,4
Katarina+Susman,1,4.949808937375017e-06,1.0,2.6354378997713955e-08,1.0,2
Maxine+Matison,3,7.424713406062525e-06,1.0,4.3310407238443565e-06,1.0,3
Valentina+Schettini,1,1.732433128081256e-05,1.0,3.280679294071618e-08,1.0,7
Agnes+Grau,4,1.2374522343437543e-05,1.0,2.0489332849105594e-09,1.0,5
Hatice+Altug,0,9.899617874750034e-06,1.0,1.7202220483890834e-07,1.0,4
Anna+Trevisan,1,4.949808937375017e-06,1.0,1.5445516711647273e-08,1.0,2
Xuezhen+Wang,0,7.424713406062525e-06,1.0,5.4927934571672725e-06,1.0,3
Peichun Amy+Tsai,3,7.424713406062525e-06,1.0,1.5031588803496492e-08,1.0,3
Fumiko+Yamaguchi,45,1.484942681212505e-05,0.3333333333333333,5.905180727339639e-07,0.7619047619047619,5
Syuzanna+Sargsyan,1,4.949808937375017e-06,1.0,9.335373811554246e-09,1.0,2
Nikita+Blinov,16,1.979923574950007e-05,0.35714285714285715,5.9109986333999305e-08,0.75,6
Hiroyoshi+Naito,48,3.959847149900014e-05,0.21666666666666667,5.385198562037854e-08,0.6544117647058824,5
Silvia+Bergamini,1,9.899617874750034e-06,1.0,1.1080737599305665e-08,1.0,4
Noemi+Frusciante,34,7.424713406062525e-06,1.0,9.353542721853675e-09,1.0,3
Pauline+Petit,0,7.424713406062525e-06,1.0,1.692036991198064e-10,1.0,3
Nannan+Liu,0,9.899617874750034e-06,0.8333333333333334,2.520867764615183e-07,0.95,3
Ashley C.+Stowe,26,1.732433128081256e-05,1.0,2.1308723106345754e-06,1.0,7
Natalia+Tsud,5,1.484942681212505e-05,1.0,3.4080830535373418e-09,1.0,6
Michèle+Leduc,8,4.949808937375017e-06,1.0,1.086102241263158e-09,1.0,2
Kuen-Jen+Wang,2,2.4749044686875087e-05,1.0,1.693183926906619e-06,1.0,10
Maxine+Savitz,0,3.217375809293761e-05,1.0,4.6057976619648797e-10,1.0,13
Myungshik+Kim,25,1.484942681212505e-05,0.4,1.1917053065726337e-07,0.7857142857142857,6
Galit+Eyal,8,4.949808937375017e-06,1.0,6.3427742096683104e-09,1.0,2
Janis+Aldins,81,7.424713406062525e-06,1.0,2.1883856275330782e-07,1.0,3
Hélène+de Maleprade,0,4.949808937375017e-06,1.0,1.7434821585718135e-10,1.0,2
Efrat+Gerchkovitz,2,4.949808937375017e-06,1.0,2.7939377983018327e-10,1.0,2
Claire P.+Massen,60,2.4749044686875086e-06,0.0,3.36641454029932e-10,1.0,1
Adriana+Cordero-Cid,22,1.2374522343437543e-05,0.4,4.074838905232578e-08,0.8,5
Eleanor+Hodby,32,7.424713406062525e-06,1.0,2.727633403303086e-10,1.0,3
Raffaella M.+Vuolo,2,2.4749044686875086e-06,0.0,5.731268799464261e-10,1.0,1
